accession,cik,name,filing_date,acceptance_et,after_hours,items,llm_label
0001193125-21-054808,0001326110,"ImmunityBio, Inc.",2021-02-24,2021-02-24T16:59:07-05:00,True,"8.01,9.01",OTHER
0001193125-20-322298,0001326110,"ImmunityBio, Inc.",2020-12-21,2020-12-21T07:23:00-05:00,False,"8.01,9.01",CLINICAL
0001193125-20-179095,0001326110,"ImmunityBio, Inc.",2020-06-25,2020-06-25T16:28:03-04:00,True,"8.01,9.01",OTHER
0001193125-20-177788,0001326110,"ImmunityBio, Inc.",2020-06-24,2020-06-24T17:26:38-04:00,True,"8.01,9.01",OTHER
0001193125-19-169172,0001326110,"ImmunityBio, Inc.",2019-06-10,2019-06-10T16:04:01-04:00,True,"8.01,9.01",OTHER
0001438533-25-000049,0001438533,"Travere Therapeutics, Inc.",2025-09-10,2025-09-10T07:05:26-04:00,False,8.01,REGULATORY
0001438533-25-000032,0001438533,"Travere Therapeutics, Inc.",2025-05-15,2025-05-15T16:29:26-04:00,True,8.01,REGULATORY
0001438533-25-000020,0001438533,"Travere Therapeutics, Inc.",2025-04-30,2025-04-29T17:54:56-04:00,True,8.01,REGULATORY
0001438533-25-000012,0001438533,"Travere Therapeutics, Inc.",2025-03-17,2025-03-17T16:57:21-04:00,True,8.01,REGULATORY
0001438533-25-000004,0001438533,"Travere Therapeutics, Inc.",2025-02-11,2025-02-11T07:05:09-05:00,False,8.01,REGULATORY
0001193125-24-254153,0001438533,"Travere Therapeutics, Inc.",2024-11-08,2024-11-08T16:13:55-05:00,True,"8.01,9.01",OTHER
0001438533-24-000038,0001438533,"Travere Therapeutics, Inc.",2024-09-26,2024-09-26T16:02:49-04:00,True,8.01,OTHER
0001438533-24-000035,0001438533,"Travere Therapeutics, Inc.",2024-09-06,2024-09-05T17:47:22-04:00,True,"8.01,9.01",REGULATORY
0001438533-24-000016,0001438533,"Travere Therapeutics, Inc.",2024-04-24,2024-04-24T16:05:22-04:00,True,"8.01,9.01",REGULATORY
0001438533-24-000007,0001438533,"Travere Therapeutics, Inc.",2024-02-23,2024-02-23T16:05:34-05:00,True,"8.01,9.01",REGULATORY
0001438533-23-000050,0001438533,"Travere Therapeutics, Inc.",2023-12-04,2023-12-04T16:10:22-05:00,True,"2.05,8.01,9.01",OTHER
0001193125-23-239098,0001438533,"Travere Therapeutics, Inc.",2023-09-21,2023-09-21T07:35:54-04:00,False,8.01,CLINICAL
0001438533-23-000030,0001438533,"Travere Therapeutics, Inc.",2023-05-31,2023-05-31T16:57:16-04:00,True,"8.01,9.01",CLINICAL
0001438533-23-000018,0001438533,"Travere Therapeutics, Inc.",2023-05-01,2023-05-01T16:07:06-04:00,True,"8.01,9.01",CLINICAL
0001193125-23-056553,0001438533,"Travere Therapeutics, Inc.",2023-03-01,2023-03-01T17:17:40-05:00,True,"8.01,9.01",OTHER
0001438533-23-000002,0001438533,"Travere Therapeutics, Inc.",2023-02-17,2023-02-17T16:06:10-05:00,True,"8.01,9.01",REGULATORY
0001438533-22-000044,0001438533,"Travere Therapeutics, Inc.",2022-10-13,2022-10-13T17:05:25-04:00,True,8.01,REGULATORY
0001438533-22-000042,0001438533,"Travere Therapeutics, Inc.",2022-08-22,2022-08-22T16:43:36-04:00,True,"8.01,9.01",REGULATORY
0001438533-22-000029,0001438533,"Travere Therapeutics, Inc.",2022-05-16,2022-05-16T16:47:54-04:00,True,"8.01,9.01",REGULATORY
0001438533-22-000010,0001438533,"Travere Therapeutics, Inc.",2022-03-21,2022-03-21T16:09:47-04:00,True,"8.01,9.01",REGULATORY
0001193125-22-073387,0001438533,"Travere Therapeutics, Inc.",2022-03-11,2022-03-11T16:06:43-05:00,True,"1.01,2.03,8.01,9.01",OTHER
0001438533-21-000056,0001438533,"Travere Therapeutics, Inc.",2021-12-15,2021-12-15T17:27:25-05:00,True,"8.01,9.01",CLINICAL
0001438533-21-000039,0001438533,"Travere Therapeutics, Inc.",2021-09-07,2021-09-07T17:28:53-04:00,True,"8.01,9.01",REGULATORY
0001438533-21-000036,0001438533,"Travere Therapeutics, Inc.",2021-08-16,2021-08-16T16:18:21-04:00,True,"8.01,9.01",CLINICAL
0001438533-21-000021,0001438533,"Travere Therapeutics, Inc.",2021-05-25,2021-05-25T16:44:35-04:00,True,"8.01,9.01",REGULATORY
0001193125-21-041753,0001438533,"Travere Therapeutics, Inc.",2021-02-12,2021-02-12T16:46:59-05:00,True,"8.01,9.01",OTHER
0001193125-21-036508,0001438533,"Travere Therapeutics, Inc.",2021-02-10,2021-02-10T17:29:07-05:00,True,"2.02,8.01,9.01",OTHER
0001438533-21-000002,0001438533,"Travere Therapeutics, Inc.",2021-02-02,2021-02-02T16:10:20-05:00,True,"8.01,9.01",CLINICAL
0001438533-20-000033,0001438533,"Travere Therapeutics, Inc.",2020-11-12,2020-11-12T16:08:10-05:00,True,"8.01,9.01",OTHER
0001438533-20-000026,0001438533,"Travere Therapeutics, Inc.",2020-10-22,2020-10-22T16:05:20-04:00,True,"1.01,8.01,9.01",OTHER
0001193125-20-164649,0001438533,"Travere Therapeutics, Inc.",2020-06-09,2020-06-09T16:08:04-04:00,True,"8.01,9.01",OTHER
0001438533-20-000015,0001438533,"Travere Therapeutics, Inc.",2020-06-08,2020-06-08T16:00:38-04:00,True,"8.01,9.01",OTHER
0001193125-19-226355,0001438533,"Travere Therapeutics, Inc.",2019-08-22,2019-08-22T06:30:11-04:00,False,8.01,CLINICAL
0000950170-24-116856,0001761918,"Erasca, Inc.",2024-10-24,2024-10-24T08:10:07-04:00,False,8.01,CLINICAL
0000950170-24-076474,0001761918,"Erasca, Inc.",2024-06-24,2024-06-24T09:15:10-04:00,False,8.01,OTHER
0001193125-24-141066,0001761918,"Erasca, Inc.",2024-05-17,2024-05-17T06:05:03-04:00,False,"8.01,9.01",OTHER
0001193125-24-140591,0001761918,"Erasca, Inc.",2024-05-16,2024-05-16T16:21:14-04:00,True,"1.01,2.05,8.01,9.01",PRESENTATION
0000950170-23-069212,0001761918,"Erasca, Inc.",2023-12-11,2023-12-11T09:19:11-05:00,False,8.01,REGULATORY
0000950170-23-066250,0001761918,"Erasca, Inc.",2023-11-28,2023-11-28T09:21:52-05:00,False,"8.01,9.01",INVALID:I cannot provide a classification withou
0000950170-23-045056,0001761918,"Erasca, Inc.",2023-08-29,2023-08-29T16:05:27-04:00,True,8.01,OTHER
0000950170-23-026427,0001761918,"Erasca, Inc.",2023-06-05,2023-06-05T17:06:08-04:00,True,"8.01,9.01",PRESENTATION
0000950170-23-024292,0001761918,"Erasca, Inc.",2023-05-25,2023-05-25T17:10:38-04:00,True,8.01,CLINICAL
0000950170-23-013370,0001761918,"Erasca, Inc.",2023-04-19,2023-04-19T09:01:19-04:00,False,8.01,CLINICAL
0001193125-23-028869,0001761918,"Erasca, Inc.",2023-02-09,2023-02-08T21:39:37-05:00,True,"8.01,9.01",PRESENTATION
0001193125-22-301902,0001761918,"Erasca, Inc.",2022-12-09,2022-12-09T17:27:05-05:00,True,"3.02,8.01,9.01",OTHER
0001193125-22-301402,0001761918,"Erasca, Inc.",2022-12-09,2022-12-09T07:19:00-05:00,False,"1.01,3.02,8.01,9.01",PRESENTATION
0001193125-22-240127,0001761918,"Erasca, Inc.",2022-09-07,2022-09-07T17:16:41-04:00,True,"8.01,9.01",PRESENTATION
0001193125-21-219642,0001761918,"Erasca, Inc.",2021-07-20,2021-07-20T16:11:31-04:00,True,"5.03,8.01,9.01",OTHER
0001193125-25-180841,0000886163,LIGAND PHARMACEUTICALS INC,2025-08-14,2025-08-14T16:41:13-04:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001193125-25-177452,0000886163,LIGAND PHARMACEUTICALS INC,2025-08-11,2025-08-11T07:25:43-04:00,False,"1.01,8.01,9.01",OTHER
0000886163-24-000051,0000886163,LIGAND PHARMACEUTICALS INC,2024-06-27,2024-06-27T09:10:50-04:00,False,8.01,OTHER
0000886163-24-000047,0000886163,LIGAND PHARMACEUTICALS INC,2024-06-18,2024-06-18T17:14:37-04:00,True,8.01,REGULATORY
0000886163-24-000039,0000886163,LIGAND PHARMACEUTICALS INC,2024-05-30,2024-05-30T16:03:43-04:00,True,8.01,OTHER
0000886163-24-000002,0000886163,LIGAND PHARMACEUTICALS INC,2024-01-08,2024-01-05T17:50:28-05:00,True,8.01,REGULATORY
0000886163-23-000078,0000886163,LIGAND PHARMACEUTICALS INC,2023-10-18,2023-10-18T09:03:16-04:00,False,8.01,OTHER
0000886163-23-000053,0000886163,LIGAND PHARMACEUTICALS INC,2023-09-18,2023-09-18T17:26:00-04:00,True,8.01,OTHER
0000886163-23-000009,0000886163,LIGAND PHARMACEUTICALS INC,2023-03-13,2023-03-13T08:02:20-04:00,False,8.01,OTHER
0001193125-22-256260,0000886163,LIGAND PHARMACEUTICALS INC,2022-10-03,2022-10-03T09:18:01-04:00,False,"8.01,9.01",OTHER
0001193125-22-082890,0000886163,LIGAND PHARMACEUTICALS INC,2022-03-23,2022-03-23T17:25:21-04:00,True,"8.01,9.01",OTHER
0000886163-21-000123,0000886163,LIGAND PHARMACEUTICALS INC,2021-08-16,2021-08-16T16:15:57-04:00,True,8.01,CLINICAL
0000886163-21-000112,0000886163,LIGAND PHARMACEUTICALS INC,2021-07-21,2021-07-21T09:05:26-04:00,False,8.01,OTHER
0000886163-21-000102,0000886163,LIGAND PHARMACEUTICALS INC,2021-07-14,2021-07-14T16:08:33-04:00,True,"5.02,7.01,8.01,9.01",OTHER
0000886163-20-000141,0000886163,LIGAND PHARMACEUTICALS INC,2020-12-21,2020-12-21T08:39:58-05:00,False,"8.01,9.01",OTHER
0000886163-20-000129,0000886163,LIGAND PHARMACEUTICALS INC,2020-12-03,2020-12-02T20:05:47-05:00,True,8.01,OTHER
0000886163-20-000126,0000886163,LIGAND PHARMACEUTICALS INC,2020-11-23,2020-11-23T08:32:56-05:00,False,8.01,OTHER
0000886163-20-000037,0000886163,LIGAND PHARMACEUTICALS INC,2020-04-06,2020-04-06T17:15:03-04:00,True,"2.02,8.01",OTHER
0000886163-20-000034,0000886163,LIGAND PHARMACEUTICALS INC,2020-04-02,2020-04-02T16:18:25-04:00,True,"8.01,9.01",OTHER
0000886163-20-000009,0000886163,LIGAND PHARMACEUTICALS INC,2020-02-11,2020-02-11T16:28:06-05:00,True,"1.01,8.01,9.01",OTHER
0000886163-20-000002,0000886163,LIGAND PHARMACEUTICALS INC,2020-01-10,2020-01-10T13:55:00-05:00,False,8.01,OTHER
0000886163-19-000169,0000886163,LIGAND PHARMACEUTICALS INC,2019-09-12,2019-09-11T20:08:45-04:00,True,8.01,OTHER
0000886163-19-000167,0000886163,LIGAND PHARMACEUTICALS INC,2019-09-12,2019-09-11T17:49:22-04:00,True,8.01,OTHER
0000886163-19-000126,0000886163,LIGAND PHARMACEUTICALS INC,2019-07-24,2019-07-23T18:25:04-04:00,True,8.01,OTHER
0000886163-19-000117,0000886163,LIGAND PHARMACEUTICALS INC,2019-07-03,2019-07-02T19:14:25-04:00,True,8.01,OTHER
0001193125-19-170732,0000886163,LIGAND PHARMACEUTICALS INC,2019-06-12,2019-06-12T07:16:53-04:00,False,8.01,OTHER
0000886163-19-000095,0000886163,LIGAND PHARMACEUTICALS INC,2019-06-03,2019-06-03T16:13:59-04:00,True,8.01,OTHER
0000886163-19-000088,0000886163,LIGAND PHARMACEUTICALS INC,2019-05-24,2019-05-24T16:28:06-04:00,True,"1.01,8.01",OTHER
0000886163-19-000059,0000886163,LIGAND PHARMACEUTICALS INC,2019-04-22,2019-04-22T07:55:27-04:00,False,8.01,OTHER
0000886163-19-000024,0000886163,LIGAND PHARMACEUTICALS INC,2019-02-07,2019-02-06T20:19:11-05:00,True,8.01,OTHER
0000886163-19-000022,0000886163,LIGAND PHARMACEUTICALS INC,2019-01-28,2019-01-28T09:00:55-05:00,False,8.01,OTHER
0001193125-25-138452,0001070494,ACADIA PHARMACEUTICALS INC,2025-06-10,2025-06-10T16:06:24-04:00,True,8.01,OTHER
0001193125-25-123175,0001070494,ACADIA PHARMACEUTICALS INC,2025-05-20,2025-05-20T16:31:51-04:00,True,"1.01,8.01",OTHER
0001193125-24-064791,0001070494,ACADIA PHARMACEUTICALS INC,2024-03-11,2024-03-11T16:05:55-04:00,True,8.01,CLINICAL
0001193125-23-281574,0001070494,ACADIA PHARMACEUTICALS INC,2023-11-21,2023-11-21T17:11:54-05:00,True,8.01,OTHER
0001193125-23-068406,0001070494,ACADIA PHARMACEUTICALS INC,2023-03-13,2023-03-13T06:11:04-04:00,False,8.01,OTHER
0001193125-21-362806,0001070494,ACADIA PHARMACEUTICALS INC,2021-12-21,2021-12-20T21:26:04-05:00,True,"8.01,9.01",REGULATORY
0001193125-21-349137,0001070494,ACADIA PHARMACEUTICALS INC,2021-12-06,2021-12-06T17:16:05-05:00,True,"8.01,9.01",CLINICAL
0001193125-21-105632,0001070494,ACADIA PHARMACEUTICALS INC,2021-04-05,2021-04-05T08:08:55-04:00,False,"7.01,8.01,9.01",REGULATORY
0001193125-21-073270,0001070494,ACADIA PHARMACEUTICALS INC,2021-03-08,2021-03-08T16:30:04-05:00,True,"8.01,9.01",REGULATORY
0001193125-20-229278,0001070494,ACADIA PHARMACEUTICALS INC,2020-08-25,2020-08-25T09:02:02-04:00,False,"3.02,8.01,9.01",OTHER
0001193125-20-195481,0001070494,ACADIA PHARMACEUTICALS INC,2020-07-20,2020-07-20T16:15:35-04:00,True,"8.01,9.01",REGULATORY
0001193125-19-248388,0001070494,ACADIA PHARMACEUTICALS INC,2019-09-18,2019-09-18T17:07:10-04:00,True,"8.01,9.01",OTHER
0001193125-19-240440,0001070494,ACADIA PHARMACEUTICALS INC,2019-09-09,2019-09-09T06:46:10-04:00,False,"8.01,9.01",CLINICAL
0001193125-19-064601,0001070494,ACADIA PHARMACEUTICALS INC,2019-03-06,2019-03-06T06:06:03-05:00,False,8.01,OTHER
0000950170-25-057323,0001607678,"Viking Therapeutics, Inc.",2025-04-23,2025-04-23T16:01:15-04:00,True,"4.01,8.01,9.01",OTHER
0000950170-25-036820,0001607678,"Viking Therapeutics, Inc.",2025-03-11,2025-03-11T07:05:08-04:00,False,"1.01,2.03,8.01,9.01",OTHER
0000950170-24-024878,0001607678,"Viking Therapeutics, Inc.",2024-03-04,2024-03-04T16:52:52-05:00,True,"8.01,9.01",OTHER
0000950170-24-023838,0001607678,"Viking Therapeutics, Inc.",2024-03-01,2024-03-01T16:05:20-05:00,True,"1.01,8.01,9.01",OTHER
0000950170-23-011636,0001607678,"Viking Therapeutics, Inc.",2023-04-03,2023-04-03T17:17:25-04:00,True,"8.01,9.01",OTHER
0000950170-23-011443,0001607678,"Viking Therapeutics, Inc.",2023-03-31,2023-03-31T17:27:06-04:00,True,"1.01,8.01,9.01",OTHER
0001823239-24-000133,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2024-12-18,2024-12-18T16:35:18-05:00,True,8.01,OTHER
0001823239-22-000002,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2022-01-03,2022-01-03T16:08:47-05:00,True,"8.01,9.01",OTHER
0001823239-21-000009,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-04-05,2021-04-05T17:15:50-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-20-303088,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2020-11-25,2020-11-25T08:03:31-05:00,False,"1.01,3.02,3.03,5.02,5.03,8.01,9.01",OTHER
0001370053-25-000097,0001370053,"ANAPTYSBIO, INC",2025-11-21,2025-11-21T09:01:46-05:00,False,"8.01,9.01",OTHER
0001370053-25-000096,0001370053,"ANAPTYSBIO, INC",2025-11-21,2025-11-21T09:00:49-05:00,False,8.01,OTHER
0001370053-25-000091,0001370053,"ANAPTYSBIO, INC",2025-11-10,2025-11-10T09:10:20-05:00,False,"7.01,8.01,9.01",CLINICAL
0001370053-25-000081,0001370053,"ANAPTYSBIO, INC",2025-09-29,2025-09-29T16:29:55-04:00,True,"7.01,8.01,9.01",OTHER
0001370053-25-000052,0001370053,"ANAPTYSBIO, INC",2025-06-03,2025-06-03T17:20:42-04:00,True,"7.01,8.01",CLINICAL
0001370053-25-000028,0001370053,"ANAPTYSBIO, INC",2025-03-24,2025-03-24T09:20:02-04:00,False,"8.01,9.01",OTHER
0001370053-25-000010,0001370053,"ANAPTYSBIO, INC",2025-02-12,2025-02-12T08:30:37-05:00,False,"7.01,8.01",CLINICAL
0001370053-24-000067,0001370053,"ANAPTYSBIO, INC",2024-12-11,2024-12-11T16:06:02-05:00,True,8.01,CLINICAL
0001370053-23-000010,0001370053,"ANAPTYSBIO, INC",2023-01-13,2023-01-13T09:03:19-05:00,False,"8.01,9.01",OTHER
0001438133-25-000160,0001438133,TANDEM DIABETES CARE INC,2025-08-07,2025-08-07T16:09:32-04:00,True,8.01,REGULATORY
0001438133-25-000091,0001438133,TANDEM DIABETES CARE INC,2025-05-20,2025-05-19T18:28:17-04:00,True,8.01,REGULATORY
0001438133-25-000072,0001438133,TANDEM DIABETES CARE INC,2025-05-12,2025-05-12T17:16:49-04:00,True,8.01,REGULATORY
0001438133-24-000088,0001438133,TANDEM DIABETES CARE INC,2024-05-16,2024-05-16T16:35:54-04:00,True,"1.01,8.01,9.01",OTHER
0001438133-24-000047,0001438133,TANDEM DIABETES CARE INC,2024-04-01,2024-04-01T16:33:36-04:00,True,"8.01,9.01",REGULATORY
0001438133-24-000042,0001438133,TANDEM DIABETES CARE INC,2024-03-11,2024-03-08T18:19:50-05:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001628280-23-036843,0001438133,TANDEM DIABETES CARE INC,2023-11-06,2023-11-03T19:42:28-04:00,True,8.01,REGULATORY
0001438133-22-000014,0001438133,TANDEM DIABETES CARE INC,2022-02-16,2022-02-16T08:33:44-05:00,False,8.01,REGULATORY
0001438133-20-000101,0001438133,TANDEM DIABETES CARE INC,2020-07-01,2020-07-01T09:04:25-04:00,False,8.01,OTHER
0001438133-20-000095,0001438133,TANDEM DIABETES CARE INC,2020-06-18,2020-06-17T19:26:12-04:00,True,8.01,REGULATORY
0001438133-20-000069,0001438133,TANDEM DIABETES CARE INC,2020-05-28,2020-05-28T17:04:57-04:00,True,8.01,OTHER
0001438133-19-000030,0001438133,TANDEM DIABETES CARE INC,2019-12-13,2019-12-13T17:13:07-05:00,True,8.01,REGULATORY
0000950123-19-005922,0001438133,TANDEM DIABETES CARE INC,2019-06-10,2019-06-10T09:00:05-04:00,False,"8.01,9.01",CLINICAL
0001193125-25-185553,0001863127,"Tyra Biosciences, Inc.",2025-08-22,2025-08-21T21:43:39-04:00,True,8.01,CLINICAL
0001193125-25-152016,0001863127,"Tyra Biosciences, Inc.",2025-06-30,2025-06-30T08:07:00-04:00,False,8.01,CLINICAL
0001193125-24-244590,0001863127,"Tyra Biosciences, Inc.",2024-10-28,2024-10-28T07:00:28-04:00,False,8.01,REGULATORY
0001193125-24-243475,0001863127,"Tyra Biosciences, Inc.",2024-10-25,2024-10-25T08:01:32-04:00,False,"5.02,7.01,8.01,9.01",CLINICAL
0001193125-24-021953,0001863127,"Tyra Biosciences, Inc.",2024-02-01,2024-02-01T17:24:53-05:00,True,8.01,REGULATORY
0001193125-23-301829,0001863127,"Tyra Biosciences, Inc.",2023-12-22,2023-12-22T09:00:28-05:00,False,8.01,CLINICAL
0001193125-23-055156,0001863127,"Tyra Biosciences, Inc.",2023-03-01,2023-03-01T07:30:58-05:00,False,"5.02,8.01",OTHER
0001193125-22-293899,0001863127,"Tyra Biosciences, Inc.",2022-11-29,2022-11-29T08:06:02-05:00,False,8.01,OTHER
0001193125-21-276124,0001863127,"Tyra Biosciences, Inc.",2021-09-17,2021-09-17T16:01:59-04:00,True,"5.03,8.01,9.01",OTHER
0002007919-25-000097,0002007919,"Inhibrx Biosciences, Inc.",2025-12-16,2025-12-16T17:00:04-05:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-25-000089,0002007919,"Inhibrx Biosciences, Inc.",2025-10-23,2025-10-23T16:05:56-04:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-25-000007,0002007919,"Inhibrx Biosciences, Inc.",2025-01-21,2025-01-21T17:03:34-05:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-24-000054,0002007919,"Inhibrx Biosciences, Inc.",2024-11-04,2024-11-04T16:36:08-05:00,True,8.01,OTHER
0001104659-24-066645,0002007919,"Inhibrx Biosciences, Inc.",2024-05-30,2024-05-30T16:11:21-04:00,True,"1.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",OTHER
0001193125-25-271197,0001350653,"Alphatec Holdings, Inc.",2025-11-07,2025-11-07T09:10:27-05:00,False,"8.01,9.01",OTHER
0001193125-25-054786,0001350653,"Alphatec Holdings, Inc.",2025-03-14,2025-03-14T16:03:09-04:00,True,8.01,OTHER
0001193125-25-047166,0001350653,"Alphatec Holdings, Inc.",2025-03-05,2025-03-05T16:05:17-05:00,True,"8.01,9.01",OTHER
0001193125-25-044094,0001350653,"Alphatec Holdings, Inc.",2025-03-03,2025-03-03T16:02:59-05:00,True,"1.01,8.01,9.01",OTHER
0001193125-23-108488,0001350653,"Alphatec Holdings, Inc.",2023-04-20,2023-04-20T17:21:55-04:00,True,"1.01,8.01,9.01",OTHER
0001193125-23-106427,0001350653,"Alphatec Holdings, Inc.",2023-04-19,2023-04-19T16:01:54-04:00,True,"1.01,2.01,2.02,8.01,9.01",OTHER
0001564590-21-049126,0001350653,"Alphatec Holdings, Inc.",2021-09-28,2021-09-28T09:17:18-04:00,False,"8.01,9.01",OTHER
0001564590-21-041862,0001350653,"Alphatec Holdings, Inc.",2021-08-06,2021-08-05T21:11:06-04:00,True,"8.01,9.01",OTHER
0001564590-21-040813,0001350653,"Alphatec Holdings, Inc.",2021-08-04,2021-08-04T16:10:45-04:00,True,"8.01,9.01",OTHER
0001193125-20-271231,0001350653,"Alphatec Holdings, Inc.",2020-10-16,2020-10-16T17:19:31-04:00,True,"1.01,8.01,9.01",OTHER
0001193125-20-268645,0001350653,"Alphatec Holdings, Inc.",2020-10-13,2020-10-13T17:29:55-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-19-212044,0001350653,"Alphatec Holdings, Inc.",2019-08-02,2019-08-02T16:17:03-04:00,True,"8.01,9.01",OTHER
0001193125-19-207213,0001350653,"Alphatec Holdings, Inc.",2019-07-30,2019-07-30T17:24:32-04:00,True,"8.01,9.01",OTHER
0001193125-24-271578,0001817713,"Janux Therapeutics, Inc.",2024-12-05,2024-12-05T16:32:31-05:00,True,"8.01,9.01",OTHER
0000950170-24-132302,0001817713,"Janux Therapeutics, Inc.",2024-12-02,2024-12-02T17:10:46-05:00,True,"7.01,8.01,9.01",CLINICAL
0000950170-24-023257,0001817713,"Janux Therapeutics, Inc.",2024-02-29,2024-02-29T17:11:11-05:00,True,"8.01,9.01",OTHER
0000950170-24-022266,0001817713,"Janux Therapeutics, Inc.",2024-02-28,2024-02-28T17:15:06-05:00,True,8.01,OTHER
0000950170-24-021425,0001817713,"Janux Therapeutics, Inc.",2024-02-27,2024-02-27T17:23:20-05:00,True,8.01,CLINICAL
0000950170-23-039843,0001817713,"Janux Therapeutics, Inc.",2023-08-08,2023-08-08T16:17:10-04:00,True,"2.02,8.01,9.01",CLINICAL
0001193125-23-188867,0001817713,"Janux Therapeutics, Inc.",2023-07-18,2023-07-18T16:16:53-04:00,True,"1.01,8.01,9.01",OTHER
0001193125-23-187702,0001817713,"Janux Therapeutics, Inc.",2023-07-17,2023-07-17T08:06:01-04:00,False,"2.02,7.01,8.01,9.01",CLINICAL
0000950170-22-006779,0001817713,"Janux Therapeutics, Inc.",2022-05-02,2022-05-02T08:02:29-04:00,False,"8.01,9.01",PRESENTATION
0001193125-21-191155,0001817713,"Janux Therapeutics, Inc.",2021-06-15,2021-06-15T16:10:58-04:00,True,"5.03,8.01,9.01",OTHER
0001193125-25-304559,0001422143,"Kura Oncology, Inc.",2025-12-02,2025-12-02T08:10:16-05:00,False,8.01,OTHER
0001193125-25-280255,0001422143,"Kura Oncology, Inc.",2025-11-13,2025-11-13T16:27:09-05:00,True,8.01,REGULATORY
0001193125-25-249348,0001422143,"Kura Oncology, Inc.",2025-10-24,2025-10-24T07:24:52-04:00,False,8.01,OTHER
0001193125-25-241416,0001422143,"Kura Oncology, Inc.",2025-10-16,2025-10-16T16:11:18-04:00,True,"8.01,9.01",OTHER
0001193125-25-142816,0001422143,"Kura Oncology, Inc.",2025-06-18,2025-06-18T17:20:51-04:00,True,"8.01,9.01",PRESENTATION
0001193125-25-133717,0001422143,"Kura Oncology, Inc.",2025-06-03,2025-06-03T06:04:07-04:00,False,"8.01,9.01",PRESENTATION
0001193125-25-020831,0001422143,"Kura Oncology, Inc.",2025-02-05,2025-02-05T16:13:00-05:00,True,"8.01,9.01",PRESENTATION
0001193125-25-002189,0001422143,"Kura Oncology, Inc.",2025-01-06,2025-01-06T16:35:52-05:00,True,"5.02,8.01",OTHER
0001193125-24-283109,0001422143,"Kura Oncology, Inc.",2024-12-20,2024-12-20T16:07:00-05:00,True,"8.01,9.01",OTHER
0001193125-24-147030,0001422143,"Kura Oncology, Inc.",2024-05-24,2024-05-24T16:06:05-04:00,True,8.01,OTHER
0001193125-24-018713,0001422143,"Kura Oncology, Inc.",2024-01-30,2024-01-30T07:08:06-05:00,False,"2.02,8.01,9.01",PRESENTATION
0001193125-24-016715,0001422143,"Kura Oncology, Inc.",2024-01-26,2024-01-26T16:08:54-05:00,True,"1.01,3.02,8.01,9.01",OTHER
0001193125-23-301830,0001422143,"Kura Oncology, Inc.",2023-12-22,2023-12-22T09:01:59-05:00,False,"8.01,9.01",OTHER
0001193125-23-166858,0001422143,"Kura Oncology, Inc.",2023-06-14,2023-06-14T16:07:31-04:00,True,"8.01,9.01",OTHER
0001193125-23-164835,0001422143,"Kura Oncology, Inc.",2023-06-12,2023-06-12T06:06:54-04:00,False,"8.01,9.01",PRESENTATION
0001193125-23-105746,0001422143,"Kura Oncology, Inc.",2023-04-19,2023-04-19T08:31:00-04:00,False,"8.01,9.01",CLINICAL
0001193125-23-004159,0001422143,"Kura Oncology, Inc.",2023-01-09,2023-01-09T07:46:15-05:00,False,"2.02,8.01,9.01",PRESENTATION
0001193125-22-302283,0001422143,"Kura Oncology, Inc.",2022-12-12,2022-12-12T07:51:09-05:00,False,8.01,CLINICAL
0001193125-22-276906,0001422143,"Kura Oncology, Inc.",2022-11-03,2022-11-03T16:16:07-04:00,True,"8.01,9.01",CLINICAL
0001193125-22-013806,0001422143,"Kura Oncology, Inc.",2022-01-20,2022-01-20T16:25:04-05:00,True,8.01,REGULATORY
0001193125-21-339334,0001422143,"Kura Oncology, Inc.",2021-11-24,2021-11-24T06:50:58-05:00,False,8.01,REGULATORY
0001193125-20-313807,0001422143,"Kura Oncology, Inc.",2020-12-09,2020-12-09T16:04:32-05:00,True,"8.01,9.01",OTHER
0001193125-20-311098,0001422143,"Kura Oncology, Inc.",2020-12-07,2020-12-07T06:08:25-05:00,False,"8.01,9.01",PRESENTATION
0001564590-20-027461,0001422143,"Kura Oncology, Inc.",2020-05-29,2020-05-29T08:16:02-04:00,False,"8.01,9.01",CLINICAL
0001193125-20-134958,0001422143,"Kura Oncology, Inc.",2020-05-06,2020-05-06T16:34:16-04:00,True,"8.01,9.01",OTHER
0001564590-20-008679,0001422143,"Kura Oncology, Inc.",2020-03-04,2020-03-04T16:05:35-05:00,True,"8.01,9.01",REGULATORY
0001193125-19-314539,0001422143,"Kura Oncology, Inc.",2019-12-16,2019-12-16T07:36:35-05:00,False,"8.01,9.01",REGULATORY
