accession,llm_label
0001618835-21-000091,PRESENTATION
0001618835-21-000049,OTHER
0001618835-21-000046,PRESENTATION
0001618835-21-000022,PRESENTATION
0001618835-21-000018,PRESENTATION
0001618835-20-000250,PRESENTATION
0001618835-20-000244,PRESENTATION
0001618835-20-000222,PRESENTATION
0001618835-20-000007,PRESENTATION
0001618835-19-000160,PRESENTATION
0001618835-19-000005,PRESENTATION
0001096906-22-002280,OTHER
0001096906-22-000524,OTHER
0001096906-21-001784,OTHER
0001078782-20-000320,OTHER
0001078782-20-000186,OTHER
0001078782-19-000576,OTHER
0001078782-19-000493,OTHER
0001078782-19-000366,OTHER
0001078782-19-000294,OTHER
0001078782-19-000057,PRESENTATION
0001078782-19-000021,OTHER
0001438133-20-000098,OTHER
0001564590-21-028554,OTHER
0001193805-20-001508,OTHER
0001193125-22-043939,OTHER
0001193125-23-204493,OTHER
0001140361-24-044715,OTHER
0001140361-24-032559,OTHER
0001140361-22-043313,OTHER
0001516551-23-000046,OTHER
0001193125-25-280116,OTHER
0001078782-20-000007,OTHER
0001093557-25-000111,OTHER
0001093557-24-000143,OTHER
0001093557-23-000222,OTHER
0001093557-23-000218,OTHER
0001093557-23-000191,OTHER
0001193125-23-137248,OTHER
0001193125-23-133137,OTHER
0001193125-23-131265,OTHER
0001093557-22-000151,OTHER
0001093557-22-000145,OTHER
0001193125-22-005104,OTHER
0001193125-21-336940,OTHER
0001193125-21-205018,OTHER
0001093557-20-000278,OTHER
0001193125-20-217131,OTHER
0001193125-20-182596,OTHER
0001193125-20-143408,OTHER
0001193125-20-139830,OTHER
0001193125-20-138228,OTHER
0001093557-19-000209,OTHER
0001193125-25-258519,OTHER
0001193125-25-170512,OTHER
0001193125-25-091357,OTHER
0001193125-25-017218,OTHER
0001193125-24-242806,OTHER
0001193125-24-191487,OTHER
0001193125-24-113883,OTHER
0001193125-24-014223,OTHER
0001193125-23-264072,OTHER
0001193125-23-202850,OTHER
0001193125-23-122110,OTHER
0001193125-23-016231,OTHER
0001193125-22-270961,OTHER
0001193125-22-218522,OTHER
0001193125-22-127535,OTHER
0001193125-22-019765,OTHER
0001193125-21-311286,OTHER
0001193125-21-237704,OTHER
0001193125-21-140371,OTHER
0001193125-21-020758,OTHER
0001193125-20-281037,OTHER
0001193125-20-210635,OTHER
0001193125-20-128755,OTHER
0001193125-20-019606,OTHER
0001193125-19-273579,OTHER
0001193125-19-202515,OTHER
0001193125-19-134997,OTHER
0001193125-19-015912,OTHER
0001193125-25-297576,OTHER
0001193125-25-277870,OTHER
0001193125-25-144290,OTHER
0001193125-24-215883,OTHER
0001193125-24-214335,OTHER
0001193125-24-167025,OTHER
0001193125-24-153239,OTHER
0000950157-23-000577,OTHER
0001193125-22-303832,OTHER
0001193125-22-296685,OTHER
0000950157-22-000997,OTHER
0001110803-22-000035,OTHER
0001110803-22-000026,OTHER
0000950157-21-001099,OTHER
0000950157-21-000850,OTHER
0001193125-21-089600,OTHER
0000950157-21-000344,OTHER
0001193125-21-079640,OTHER
0000950157-21-000303,OTHER
0001110803-20-000066,OTHER
0000950157-20-001121,OTHER
0001110803-19-000060,OTHER
0001110803-19-000031,OTHER
0000914475-24-000229,REGULATORY
0000914475-24-000214,OTHER
0000914475-23-000078,OTHER
0000914475-23-000075,OTHER
0000914475-23-000067,OTHER
0000914475-23-000065,CLINICAL
0000914475-23-000062,CLINICAL
0000914475-23-000023,OTHER
0000914475-23-000016,OTHER
0000914475-22-000035,OTHER
0000914475-22-000032,OTHER
0000914475-21-000064,OTHER
0000914475-21-000009,OTHER
0000914475-20-000043,OTHER
0000914475-20-000040,OTHER
0000914475-20-000005,OTHER
0001193125-20-191864,REGULATORY
0001159036-25-000049,OTHER
0001159036-25-000047,OTHER
0001159036-23-000051,OTHER
0001159036-23-000017,OTHER
0001193125-22-221861,OTHER
0001193125-22-220557,OTHER
0001193125-21-055596,OTHER
0001193125-21-052372,OTHER
0001193125-19-294791,OTHER
0001193125-19-291625,OTHER
0001193125-19-289955,OTHER
0001193125-19-171015,OTHER
0001193125-25-284609,OTHER
0001140361-25-019620,CLINICAL
0001140361-24-050057,REGULATORY
0001193125-24-217333,OTHER
0001193125-24-215939,OTHER
0001140361-24-028247,CLINICAL
0001140361-24-018449,CLINICAL
0001140361-24-002995,CLINICAL
0001140361-23-058974,REGULATORY
0001140361-23-045170,CLINICAL
0001140361-23-041038,OTHER
0001140361-23-040746,OTHER
0001140361-23-033840,CLINICAL
0001193125-23-165273,OTHER
0001193125-23-161613,OTHER
0001140361-23-020335,REGULATORY
0001140361-23-019757,CLINICAL
0001140361-23-013852,CLINICAL
0001140361-22-026294,OTHER
0001140361-22-023541,CLINICAL
0001140361-21-039298,CLINICAL
0001140361-21-034722,CLINICAL
0001193125-21-113586,OTHER
0001140361-21-009508,CLINICAL
0001140361-20-027746,PRESENTATION
0001193125-20-268017,OTHER
0001193125-20-235408,OTHER
0000950170-24-134342,REGULATORY
0001193125-24-235275,OTHER
0000950170-24-109644,REGULATORY
0001193125-24-165903,OTHER
0001193125-24-055935,OTHER
0001193125-23-234504,OTHER
0000950170-23-007454,OTHER
0000950170-22-025709,REGULATORY
0000950170-22-019537,OTHER
0001193125-22-104334,OTHER
0000950170-22-004123,OTHER
0001564590-22-001071,PRESENTATION
0001564590-21-055080,CLINICAL
0001193125-21-304041,OTHER
0001564590-21-051031,OTHER
0001564590-21-048956,OTHER
0001564590-21-034687,OTHER
0001193125-21-110225,OTHER
0001564590-21-004179,CLINICAL
0001564590-21-003931,CLINICAL
0001564590-21-000325,PRESENTATION
0001564590-20-044046,REGULATORY
0001193125-20-108092,OTHER
0001193125-25-331244,OTHER
0001326110-25-000143,REGULATORY
0001193125-25-177024,OTHER
0001193125-25-112057,REGULATORY
0001193125-24-274871,OTHER
0001193125-24-274438,OTHER
0001326110-24-000115,CLINICAL
0001326110-24-000003,OTHER
0001326110-23-000121,OTHER
0001326110-23-000112,OTHER
0001326110-23-000102,OTHER
0001193125-23-190491,OTHER
0001326110-23-000063,REGULATORY
0001326110-23-000023,REGULATORY
0001326110-23-000014,OTHER
0001326110-22-000076,OTHER
0001193125-21-270970,CLINICAL
0001193125-21-190551,REGULATORY
0001193125-21-057184,OTHER
0001193125-21-054808,OTHER
0001193125-20-322298,CLINICAL
0001193125-20-179095,OTHER
0001193125-20-177788,OTHER
0001193125-19-169172,OTHER
0001438533-25-000049,REGULATORY
0001438533-25-000032,REGULATORY
0001438533-25-000020,REGULATORY
0001438533-25-000012,REGULATORY
0001438533-25-000004,REGULATORY
0001193125-24-254153,OTHER
0001438533-24-000038,OTHER
0001438533-24-000035,REGULATORY
0001438533-24-000016,REGULATORY
0001438533-24-000007,REGULATORY
0001438533-23-000050,OTHER
0001193125-23-239098,CLINICAL
0001438533-23-000030,CLINICAL
0001438533-23-000018,CLINICAL
0001193125-23-056553,OTHER
0001438533-23-000002,REGULATORY
0001438533-22-000044,REGULATORY
0001438533-22-000042,REGULATORY
0001438533-22-000029,REGULATORY
0001438533-22-000010,REGULATORY
0001193125-22-073387,OTHER
0001438533-21-000056,CLINICAL
0001438533-21-000039,REGULATORY
0001438533-21-000036,CLINICAL
0001438533-21-000021,REGULATORY
0001193125-21-041753,OTHER
0001193125-21-036508,OTHER
0001438533-21-000002,CLINICAL
0001438533-20-000033,OTHER
0001438533-20-000026,OTHER
0001193125-20-164649,OTHER
0001438533-20-000015,OTHER
0001193125-19-226355,CLINICAL
0000950170-24-116856,CLINICAL
0000950170-24-076474,OTHER
0001193125-24-141066,OTHER
0001193125-24-140591,PRESENTATION
0000950170-23-069212,REGULATORY
0000950170-23-045056,OTHER
0000950170-23-026427,PRESENTATION
0000950170-23-024292,CLINICAL
0000950170-23-013370,CLINICAL
0001193125-23-028869,PRESENTATION
0001193125-22-301902,OTHER
0001193125-22-301402,PRESENTATION
0001193125-22-240127,PRESENTATION
0001193125-21-219642,OTHER
0001193125-25-180841,OTHER
0001193125-25-177452,OTHER
0000886163-24-000051,OTHER
0000886163-24-000047,REGULATORY
0000886163-24-000039,OTHER
0000886163-24-000002,REGULATORY
0000886163-23-000078,OTHER
0000886163-23-000053,OTHER
0000886163-23-000009,OTHER
0001193125-22-256260,OTHER
0001193125-22-082890,OTHER
0000886163-21-000123,CLINICAL
0000886163-21-000112,OTHER
0000886163-20-000141,OTHER
0000886163-20-000129,OTHER
0000886163-20-000126,OTHER
0000886163-20-000037,OTHER
0000886163-20-000034,OTHER
0000886163-20-000009,OTHER
0000886163-20-000002,OTHER
0000886163-19-000169,OTHER
0000886163-19-000167,OTHER
0000886163-19-000126,OTHER
0000886163-19-000117,OTHER
0001193125-19-170732,OTHER
0000886163-19-000095,OTHER
0000886163-19-000088,OTHER
0000886163-19-000059,OTHER
0000886163-19-000024,OTHER
0000886163-19-000022,OTHER
0001193125-25-138452,OTHER
0001193125-25-123175,OTHER
0001193125-24-064791,CLINICAL
0001193125-23-281574,OTHER
0001193125-23-068406,OTHER
0001193125-21-362806,REGULATORY
0001193125-21-349137,CLINICAL
0001193125-21-073270,REGULATORY
0001193125-20-229278,OTHER
0001193125-20-195481,REGULATORY
0001193125-19-248388,OTHER
0001193125-19-240440,CLINICAL
0001193125-19-064601,OTHER
0000950170-25-057323,OTHER
0000950170-25-036820,OTHER
0000950170-24-024878,OTHER
0000950170-24-023838,OTHER
0000950170-23-011636,OTHER
0000950170-23-011443,OTHER
0001823239-24-000133,OTHER
0001823239-22-000002,OTHER
0001823239-21-000009,OTHER
0001193125-20-303088,OTHER
0001370053-25-000097,OTHER
0001370053-25-000096,OTHER
0001370053-25-000028,OTHER
0001370053-24-000067,CLINICAL
0001370053-23-000010,OTHER
0001438133-25-000160,REGULATORY
0001438133-25-000091,REGULATORY
0001438133-25-000072,REGULATORY
0001438133-24-000088,OTHER
0001438133-24-000047,REGULATORY
0001438133-24-000042,OTHER
0001628280-23-036843,REGULATORY
0001438133-22-000014,REGULATORY
0001438133-20-000101,OTHER
0001438133-20-000095,REGULATORY
0001438133-20-000069,OTHER
0001438133-19-000030,REGULATORY
0000950123-19-005922,CLINICAL
0001193125-25-185553,CLINICAL
0001193125-25-152016,CLINICAL
0001193125-24-244590,REGULATORY
0001193125-24-021953,REGULATORY
0001193125-23-301829,CLINICAL
0001193125-23-055156,OTHER
0001193125-22-293899,OTHER
0001193125-21-276124,OTHER
0002007919-24-000054,OTHER
0001104659-24-066645,OTHER
0001193125-25-271197,OTHER
0001193125-25-054786,OTHER
0001193125-25-047166,OTHER
0001193125-25-044094,OTHER
0001193125-23-108488,OTHER
0001193125-23-106427,OTHER
0001564590-21-049126,OTHER
0001564590-21-041862,OTHER
0001564590-21-040813,OTHER
0001193125-20-271231,OTHER
0001193125-20-268645,OTHER
0001193125-19-212044,OTHER
0001193125-19-207213,OTHER
0001193125-24-271578,OTHER
0000950170-24-023257,OTHER
0000950170-24-022266,OTHER
0000950170-24-021425,CLINICAL
0000950170-23-039843,CLINICAL
0001193125-23-188867,OTHER
0000950170-22-006779,PRESENTATION
0001193125-21-191155,OTHER
0001193125-25-304559,OTHER
0001193125-25-280255,REGULATORY
0001193125-25-249348,OTHER
0001193125-25-241416,OTHER
0001193125-25-142816,PRESENTATION
0001193125-25-133717,PRESENTATION
0001193125-25-020831,PRESENTATION
0001193125-25-002189,OTHER
0001193125-24-283109,OTHER
0001193125-24-147030,OTHER
0001193125-24-018713,PRESENTATION
0001193125-24-016715,OTHER
0001193125-23-301830,OTHER
0001193125-23-166858,OTHER
0001193125-23-164835,PRESENTATION
0001193125-23-105746,CLINICAL
0001193125-23-004159,PRESENTATION
0001193125-22-302283,CLINICAL
0001193125-22-276906,CLINICAL
0001193125-22-013806,REGULATORY
0001193125-21-339334,REGULATORY
0001193125-20-313807,OTHER
0001193125-20-311098,PRESENTATION
0001564590-20-027461,CLINICAL
0001193125-20-134958,OTHER
0001564590-20-008679,REGULATORY
0001193125-19-314539,REGULATORY
0000950123-19-011815,CLINICAL
0001564590-19-038526,CLINICAL
0001193125-19-235863,CLINICAL
0001193125-19-219012,OTHER
0001193125-19-176463,OTHER
0001193125-19-173019,CLINICAL
0001193125-25-185355,OTHER
0001193125-24-263447,OTHER
0001906324-22-000035,OTHER
0001906324-22-000019,OTHER
0001193125-21-100253,OTHER
0001140361-25-034506,PRESENTATION
0001140361-23-049083,OTHER
0001140361-23-042067,OTHER
0001140361-23-009748,OTHER
0001140361-22-030838,OTHER
0001140361-22-030333,OTHER
0001140361-22-027565,OTHER
0001193125-22-181696,OTHER
0001193125-22-170374,OTHER
0001193125-22-016551,REGULATORY
0001193125-21-300039,OTHER
0001193125-21-286802,REGULATORY
0001193125-21-221838,CLINICAL
0001193125-21-217238,PRESENTATION
0001193125-21-203458,REGULATORY
0001193125-21-164621,CLINICAL
0001193125-21-019329,OTHER
0001193125-21-017700,OTHER
0001193125-20-308422,REGULATORY
0001193125-20-174052,OTHER
0001193125-20-171303,CLINICAL
0001193125-20-036011,OTHER
0001193125-20-027476,CLINICAL
0001193125-20-009556,OTHER
0001193125-19-261180,CLINICAL
0001193125-19-095661,REGULATORY
0001437749-25-037842,OTHER
0001437749-25-037547,CLINICAL
0001437749-25-035860,CLINICAL
0001437749-25-016877,OTHER
0001437749-25-013334,OTHER
0001193125-25-190202,OTHER
0001193125-25-047351,REGULATORY
0001193125-23-237996,REGULATORY
0001193125-22-280241,OTHER
0001193125-22-275336,OTHER
0001193125-22-266351,REGULATORY
0001193125-22-199246,OTHER
0001193125-20-312895,OTHER
0001104659-24-088395,OTHER
0001104659-24-087838,OTHER
0001104659-24-079351,OTHER
0001104659-23-030711,OTHER
0001104659-21-094971,OTHER
0000950170-25-074397,OTHER
0000950170-25-069175,OTHER
0001285550-23-000048,OTHER
0001171520-22-000364,OTHER
0001171520-22-000319,OTHER
0001171520-21-000261,OTHER
0000950170-25-098327,OTHER
0001558370-25-000010,REGULATORY
0001558370-24-013344,REGULATORY
0001558370-24-000197,OTHER
0001558370-23-019717,CLINICAL
0001558370-22-010821,REGULATORY
0001558370-22-005003,OTHER
0001104659-21-083149,OTHER
0001104659-20-122803,OTHER
0001104659-20-060449,CLINICAL
0001104659-20-058192,OTHER
0001104659-20-056292,CLINICAL
0001104659-20-034994,OTHER
0001104659-19-074247,OTHER
0001104659-19-073600,OTHER
0001104659-19-063785,OTHER
0001144204-19-042160,OTHER
0001144204-19-034627,CLINICAL
0001144204-19-031589,OTHER
0001144204-19-005129,CLINICAL
0001144204-19-002173,REGULATORY
0001725160-25-000164,OTHER
0001628280-23-022240,OTHER
0001725160-23-000137,OTHER
0001628280-22-014546,OTHER
0001628280-22-010794,OTHER
0001725160-21-000226,REGULATORY
0001725160-21-000156,OTHER
0001725160-21-000146,CLINICAL
0001493152-25-018324,OTHER
0001493152-25-017630,OTHER
0001493152-25-015775,OTHER
0001493152-25-014071,OTHER
0001641172-25-020896,OTHER
0001641172-25-018313,OTHER
0001493152-24-050203,OTHER
0001493152-24-018687,OTHER
0001493152-24-017739,OTHER
0001493152-24-014253,PRESENTATION
0001493152-24-013336,OTHER
0001493152-24-006132,OTHER
0001493152-24-004539,OTHER
0001493152-23-032278,OTHER
0001493152-23-032245,OTHER
0001493152-23-032118,OTHER
0001493152-23-011066,OTHER
0001493152-23-007342,OTHER
0001493152-23-003966,OTHER
0001493152-23-000368,OTHER
0001493152-22-035770,PRESENTATION
0001493152-22-032591,OTHER
0000950170-22-017505,OTHER
0001193125-22-143077,OTHER
0000950170-22-005828,OTHER
0001193125-21-304862,OTHER
0001171843-21-004377,OTHER
0001171843-21-003780,OTHER
0001171843-21-003201,OTHER
0001171843-21-002819,OTHER
0001171843-21-002410,OTHER
0001171843-21-002038,OTHER
0001171843-21-001886,OTHER
0001171843-20-004007,OTHER
0001171843-20-002720,REGULATORY
0001171843-20-002458,OTHER
0001171843-20-000155,OTHER
0001171843-19-008270,OTHER
0001171843-19-005227,OTHER
0001171843-19-004639,OTHER
0001193805-23-001328,OTHER
0001193805-23-001174,OTHER
0001193805-23-001112,CLINICAL
0001193805-22-000672,CLINICAL
0001193805-21-000256,OTHER
0001193805-20-001274,OTHER
0001193805-20-001229,OTHER
0001193805-20-000886,OTHER
0001564590-20-017549,OTHER
0001564590-20-017147,OTHER
0001193125-19-252227,OTHER
0001193125-19-245891,OTHER
0001193805-19-000694,OTHER
0001193125-24-072871,OTHER
0001193125-23-227749,OTHER
0000950170-23-026747,PRESENTATION
0001193125-23-002504,OTHER
0001193125-21-356947,CLINICAL
0001193125-21-005180,OTHER
0001564590-20-056247,OTHER
0001193125-20-164916,OTHER
0001564590-20-019242,REGULATORY
0001193125-19-244198,OTHER
0001564590-19-000184,REGULATORY
0001193125-25-302552,OTHER
0001193125-25-291979,OTHER
0001193125-25-276249,OTHER
0000950170-25-061466,OTHER
0000950170-24-059689,OTHER
0000950170-24-035365,OTHER
0001493152-24-006901,OTHER
0001493152-24-005046,OTHER
0001493152-23-022030,OTHER
0001493152-23-018160,OTHER
0001493152-22-004309,OTHER
0001493152-21-032109,OTHER
0001493152-21-006641,CLINICAL
0001493152-21-005498,OTHER
0001493152-20-021436,CLINICAL
0001493152-20-020982,CLINICAL
0001493152-20-009635,OTHER
0001493152-19-015684,OTHER
0001493152-19-015458,CLINICAL
0001493152-19-014295,REGULATORY
0001493152-19-012036,OTHER
0001493152-19-006740,OTHER
0001493152-19-006272,CLINICAL
0001493152-19-006051,CLINICAL
0001493152-19-003570,OTHER
0001493152-19-002770,OTHER
0001493152-19-001907,OTHER
0001274737-25-000055,OTHER
0001193125-25-116881,OTHER
0001193125-25-115946,OTHER
0001274737-25-000003,OTHER
0001274737-24-000071,OTHER
0001274737-24-000030,OTHER
0001274737-23-000074,OTHER
0001274737-21-000106,OTHER
0001274737-21-000085,OTHER
0001274737-21-000021,OTHER
0001628280-19-014376,OTHER
0001193125-19-252366,OTHER
0001815776-25-000077,OTHER
0001815776-25-000064,OTHER
0001815776-25-000059,REGULATORY
0001815776-24-000064,CLINICAL
0001815776-24-000053,REGULATORY
0001815776-24-000035,CLINICAL
0001193125-24-058513,OTHER
0001193125-23-303051,OTHER
0000950170-23-044135,OTHER
0000950170-23-003808,OTHER
0000950170-23-000228,CLINICAL
0000950170-22-026333,OTHER
0000950170-22-021600,PRESENTATION
0000950170-22-016657,CLINICAL
0001193125-25-231860,OTHER
0001193125-25-209068,OTHER
0000950170-25-113023,OTHER
0001193125-25-021348,CLINICAL
0001193125-24-248138,PRESENTATION
0001193125-24-247760,OTHER
0001193125-24-153667,CLINICAL
0001193125-24-082709,CLINICAL
0001193125-24-063618,OTHER
0001193125-24-044664,OTHER
0001193125-24-041994,OTHER
0001193125-23-300417,PRESENTATION
0000950170-23-061084,CLINICAL
0001193125-22-311788,OTHER
0001193125-22-305076,OTHER
0001193125-22-298869,OTHER
0001193125-22-251807,CLINICAL
0001193125-22-251386,OTHER
0001193125-22-238883,OTHER
0001193125-22-144343,CLINICAL
0001193125-22-116380,CLINICAL
0000950170-22-002622,OTHER
0000950170-21-000348,OTHER
0001564590-21-004194,OTHER
0001193125-20-281174,REGULATORY
0001193125-20-220538,OTHER
0001193125-20-191424,CLINICAL
0001193125-19-312050,OTHER
0001193125-19-302509,OTHER
0001564590-19-042913,OTHER
0001193125-19-045346,OTHER
0001193125-25-314364,OTHER
0001193125-25-267402,PRESENTATION
0001193125-25-234722,REGULATORY
0000950170-25-112645,PRESENTATION
0000950170-25-107320,OTHER
0001193125-25-027245,OTHER
0001728117-25-000004,OTHER
0001728117-24-000080,OTHER
0001728117-24-000052,OTHER
0001728117-24-000013,OTHER
0001728117-23-000091,CLINICAL
0001728117-23-000030,REGULATORY
0001728117-22-000102,CLINICAL
0001728117-22-000035,CLINICAL
0001564590-20-026546,OTHER
0000950170-25-087369,PRESENTATION
0000950170-24-134970,OTHER
0001628280-24-026295,OTHER
0001628280-23-025483,OTHER
0001628280-23-022757,OTHER
0001628280-23-002037,OTHER
0001628280-22-024362,PRESENTATION
0001628280-22-001522,OTHER
0001628280-22-000669,OTHER
0001628280-21-024814,PRESENTATION
0001628280-21-024493,OTHER
0001628280-21-022729,PRESENTATION
0001628280-21-018136,PRESENTATION
0001628280-21-017578,PRESENTATION
0001628280-21-013733,OTHER
0001628280-21-013508,PRESENTATION
0001628280-21-013021,OTHER
0001628280-21-012005,OTHER
0001628280-21-011784,OTHER
0001628280-21-010750,PRESENTATION
0001628280-21-006707,PRESENTATION
0001628280-21-004508,PRESENTATION
0001628280-21-003831,PRESENTATION
0001628280-21-002984,PRESENTATION
0001628280-21-002232,PRESENTATION
0001628280-21-001908,CLINICAL
0001628280-21-000813,REGULATORY
0001628280-21-000474,CLINICAL
0001628280-20-017151,CLINICAL
0001628280-20-016701,PRESENTATION
0001628280-20-014591,CLINICAL
0001628280-20-014034,OTHER
0001628280-20-013690,CLINICAL
0001628280-20-013580,PRESENTATION
0001628280-20-013539,PRESENTATION
0001628280-20-011606,PRESENTATION
0001628280-20-010960,PRESENTATION
0001628280-20-009534,OTHER
0001628280-20-009417,CLINICAL
0001628280-20-009155,OTHER
0001628280-20-008589,CLINICAL
0001628280-20-008504,REGULATORY
0001628280-20-008455,OTHER
0001628280-20-007644,OTHER
0001628280-20-006555,OTHER
0001628280-20-005682,CLINICAL
0001628280-20-005226,OTHER
0001628280-20-004781,PRESENTATION
0001628280-20-004445,PRESENTATION
0001628280-20-003017,OTHER
0001628280-20-001467,CLINICAL
0001628280-20-001027,PRESENTATION
0001628280-20-000651,OTHER
0001628280-20-000533,CLINICAL
0001628280-20-000403,CLINICAL
0001628280-19-014850,CLINICAL
0001628280-19-014717,OTHER
0001628280-19-014171,CLINICAL
0001628280-19-013431,PRESENTATION
0001193125-19-276277,OTHER
0001628280-19-012452,CLINICAL
0001628280-19-012088,OTHER
0001628280-19-012043,CLINICAL
0001628280-19-011995,CLINICAL
0001104659-19-050671,CLINICAL
0001628280-19-011354,PRESENTATION
0001628280-19-011171,CLINICAL
0001104659-19-046145,PRESENTATION
0001104659-19-041217,PRESENTATION
0001104659-19-039671,OTHER
0001104659-19-032992,PRESENTATION
0001104659-19-031363,OTHER
0001104659-19-023054,OTHER
0001104659-19-020072,OTHER
0001193125-19-095338,CLINICAL
0001193125-19-094145,CLINICAL
0001193125-19-073028,OTHER
0001193125-19-071578,OTHER
0001193125-19-056253,PRESENTATION
0001193125-19-044909,OTHER
0001193125-19-039699,CLINICAL
0001193125-19-024055,OTHER
0001193125-19-021144,REGULATORY
0001193125-19-014479,OTHER
0001193125-19-009824,OTHER
0001193125-22-095275,OTHER
0001193125-21-165299,OTHER
0001193125-21-150688,OTHER
0001193125-21-023589,OTHER
0001193125-21-006833,OTHER
0000950170-25-076911,OTHER
0001193125-24-084736,OTHER
0001193125-25-171747,OTHER
0001193125-25-163990,OTHER
0001193125-25-162584,OTHER
0001193125-25-159400,OTHER
0001193125-25-157867,OTHER
0000950170-23-061519,CLINICAL
0001193125-22-096765,OTHER
0000950170-25-109234,OTHER
0000950170-25-107416,OTHER
0000950170-25-105474,OTHER
0000950170-25-063967,OTHER
0000950170-24-132874,OTHER
0001193125-24-013587,REGULATORY
0001193125-23-302150,REGULATORY
0000950170-23-007473,REGULATORY
0000950170-23-006139,OTHER
0000950170-22-027082,REGULATORY
0001564590-22-031836,REGULATORY
0001564590-22-010729,REGULATORY
0001564590-21-059819,REGULATORY
0001564590-21-057541,REGULATORY
0001564590-21-049889,REGULATORY
0001564590-21-027241,REGULATORY
0001564590-20-053742,REGULATORY
0001564590-20-044749,REGULATORY
0001564590-20-042727,REGULATORY
0001564590-20-033338,REGULATORY
0001564590-20-032445,OTHER
0001564590-20-031058,REGULATORY
0001564590-20-025913,REGULATORY
0001564590-20-005303,REGULATORY
0001564590-19-045076,REGULATORY
0001564590-19-038027,REGULATORY
0001564590-19-037287,REGULATORY
0001564590-19-036000,REGULATORY
0001193125-19-195218,OTHER
0001193125-19-130962,REGULATORY
0001193125-19-093695,REGULATORY
0001193125-19-070125,CLINICAL
0001193125-19-051944,REGULATORY
0001193125-19-001151,CLINICAL
0001193125-25-202865,CLINICAL
0000950170-24-085058,OTHER
0000950170-24-065899,OTHER
0000950170-23-047360,CLINICAL
0000950170-23-002384,OTHER
0000950170-23-001836,OTHER
0000950170-22-016670,REGULATORY
0001564590-22-020476,PRESENTATION
0001564590-21-048145,OTHER
0001564590-21-047679,CLINICAL
0001564590-21-023319,OTHER
0001564590-21-013011,CLINICAL
0001564590-21-005005,OTHER
0001564590-21-001138,OTHER
0001564590-21-000167,CLINICAL
0001564590-20-026385,OTHER
0001564590-20-017579,REGULATORY
0001564590-19-045783,CLINICAL
0001564590-19-024170,OTHER
0001564590-19-024064,OTHER
0001564590-19-011319,OTHER
0001193125-25-258474,OTHER
0001140361-25-026773,OTHER
0000929638-24-002259,OTHER
0000950170-24-017875,OTHER
0000950170-23-069381,CLINICAL
0001193125-23-191945,OTHER
0001193125-23-189610,OTHER
0001193125-23-188930,OTHER
0001193125-23-188090,OTHER
0001193125-23-186570,OTHER
0001193125-23-183853,OTHER
0001193125-23-182031,OTHER
0001193125-23-178569,OTHER
0001193125-23-176628,OTHER
0001193125-23-158451,OTHER
0001193125-23-156923,OTHER
0001193125-23-102213,OTHER
0001193125-22-301019,REGULATORY
0001193125-22-084277,REGULATORY
0001193125-21-349142,OTHER
0001193125-21-342891,CLINICAL
0001193125-21-189193,PRESENTATION
0001193125-21-144939,OTHER
0001193125-21-114670,PRESENTATION
0001193125-20-290299,OTHER
0001193125-20-185881,CLINICAL
0001193125-20-106585,OTHER
0001193125-20-105808,OTHER
0001193125-19-316554,OTHER
0001193125-19-189160,OTHER
0001193125-19-164088,CLINICAL
0001193125-25-269526,OTHER
0001193125-25-046225,OTHER
0001193125-24-283105,OTHER
0001193125-24-248761,OTHER
0001193125-24-247643,OTHER
0001193125-24-081584,OTHER
0001193125-23-268948,CLINICAL
0001193125-23-210794,OTHER
0001193125-23-137097,OTHER
0001193125-23-076714,OTHER
0001193125-23-071452,OTHER
0001193125-23-059999,OTHER
0001193125-22-290485,OTHER
0001193125-22-290244,OTHER
0001213900-25-120759,OTHER
0001213900-25-048276,OTHER
0001213900-24-102121,OTHER
0001213900-24-075772,REGULATORY
0001213900-24-014985,OTHER
0001213900-24-014542,OTHER
0001213900-24-004669,REGULATORY
0001213900-23-040917,OTHER
0001019056-22-000518,OTHER
0001019056-22-000516,OTHER
0001019056-22-000371,OTHER
0001019056-22-000321,OTHER
0001019056-22-000236,OTHER
0001019056-22-000180,OTHER
0001019056-22-000025,OTHER
0001019056-21-000626,OTHER
0001019056-21-000620,OTHER
0001019056-21-000475,OTHER
0001019056-21-000212,PRESENTATION
0001493152-25-011402,OTHER
0001641172-25-020295,OTHER
0001641172-25-016374,OTHER
0001641172-25-003887,OTHER
0001493152-23-030659,OTHER
0001493152-23-002389,OTHER
0001493152-22-034410,OTHER
0001401914-22-000079,PRESENTATION
0001493152-22-018820,OTHER
0001401914-22-000054,PRESENTATION
0001401914-22-000015,PRESENTATION
0001401914-22-000012,PRESENTATION
0001401914-22-000003,PRESENTATION
0001401914-21-000144,PRESENTATION
0001401914-21-000140,REGULATORY
0001401914-21-000125,PRESENTATION
0001401914-21-000122,PRESENTATION
0001401914-21-000106,PRESENTATION
0001401914-21-000085,PRESENTATION
0001401914-21-000061,PRESENTATION
0001401914-21-000030,PRESENTATION
0001401914-21-000026,PRESENTATION
0001401914-21-000017,PRESENTATION
0001401914-20-000126,PRESENTATION
0001401914-20-000122,PRESENTATION
0001401914-20-000114,PRESENTATION
0001401914-20-000109,PRESENTATION
0001401914-20-000081,PRESENTATION
0001401914-20-000054,PRESENTATION
0001401914-20-000038,PRESENTATION
